SENSOR1,2026-04-15 09:00:00,0x070100000040000000cac4b941996584ebf73890400d00
SENSOR2,2026-04-15 09:00:00,0x030200000062000000016bc74170bcaba2fc838f401a00
SENSOR3,2026-04-15 09:00:00,0x0303000000560000004487c2413f8c46c20f768e402700
SENSOR4,2026-04-15 09:00:00,0x0104000000210000004766ad41043bac6e1cc78d403400
SENSOR5,2026-04-15 09:00:00,0x0005000000ddfffffffbf791413612d1d56ac98d404100
SENSOR6,2026-04-15 09:00:00,0x0006000000a9ffffff21467a41a39cb94ae57b8e404e00
SENSOR7,2026-04-15 09:00:00,0x04070000009effffff5f677141c663dbdd9a8a8f405b00
SENSOR8,2026-04-15 09:00:00,0x0608000000c1ffffffd4bf8641023315f91c3b90406800
SENSOR9,2026-04-15 09:00:00,0x0709000000010000002daca041fc691ec3f86790407500
SENSOR10,2026-04-15 09:00:00,0x070a000000410000008b47ba4109cda0cbc73690408200
SENSOR1,2026-04-15 09:00:01,0x070b000000470000004455bf417deec720ac3790401400
SENSOR2,2026-04-15 09:00:01,0x030c00000063000000a2fbc741a3fe76ae0a808f402100
SENSOR3,2026-04-15 09:00:01,0x010d0000005000000005d4bd411cde986e9e728e402e00
SENSOR4,2026-04-15 09:00:01,0x010e0000001700000012a5a541856afb3bcac58d403b00
SENSOR5,2026-04-15 09:00:01,0x000f000000d4ffffff7ace8a41c7c06cd3d6ca8d404800
SENSOR6,2026-04-15 09:00:01,0x0410000000a5ffffff31df73418a9ddd47647f8e405500
SENSOR7,2026-04-15 09:00:01,0x0411000000a1ffffff51ef7541b9a928ed878e8f406200
SENSOR8,2026-04-15 09:00:01,0x0612000000c9ffffff796a8d41fc5dd0305e3c90406f00
SENSOR9,2026-04-15 09:00:01,0x07130000000b000000d49aa8412ce40f98ed6790407c00
SENSOR10,2026-04-15 09:00:01,0x07140000004800000029bfbf412d4e717e753590408900
SENSOR1,2026-04-15 09:00:02,0x07150000004e000000f7a5c3411e910d745c3690401b00
SENSOR2,2026-04-15 09:00:02,0x03160000006300000033f4c641c5f68e16177c8f402800
SENSOR3,2026-04-15 09:00:02,0x01170000004a0000005bf0b7415caae45c326f8e403500
SENSOR4,2026-04-15 09:00:02,0x00180000000e00000040aa9d410570e8b781c48d404200
SENSOR5,2026-04-15 09:00:02,0x0019000000ccffffff467d84419c368f5e4ccc8d404f00
SENSOR6,2026-04-15 09:00:02,0x041a000000a1ffffff35817041bffe4533e8828e405c00
SENSOR7,2026-04-15 09:00:02,0x041b000000a4ffffff2a6b7d412ef1cdf972928f406900
SENSOR8,2026-04-15 09:00:02,0x061c000000d2ffffffc9d2944112ddc7679b3d90407600
SENSOR9,2026-04-15 09:00:02,0x071d00000015000000aa31b0412978c44edd6790408300
